YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,VAR_SP,VAR_CM
2007,1,Germany,55-64,1038.01,profit,country
2007,1,Germany,65+,563.38,profit,country
2007,1,Greece,19-24,549.47,profit,country
2007,1,Greece,25-34,1922.54,profit,country
2007,1,Greece,35-44,3040.74,profit,country
2007,1,Greece,45-54,2357.45,profit,country
2007,1,Greece,55-64,124.42,profit,country
2007,1,Greece,65+,75.77,profit,country
2007,1,Lithuania,19-24,2458.36,profit,country
2007,1,Lithuania,25-34,9544.13,profit,country
2007,1,Lithuania,35-44,13833.02,profit,country
2007,1,Lithuania,45-54,10086.21,profit,country
2007,1,Lithuania,55-64,1202.37,profit,country
2007,1,Lithuania,65+,379.3,profit,country
2007,1,Luxembourg,19-24,240.12,profit,country
2007,1,Luxembourg,25-34,1552.03,profit,country
2007,1,Luxembourg,35-44,1475.79,profit,country
2007,1,Luxembourg,45-54,999.06,profit,country
2007,1,Luxembourg,55-64,66.94,profit,country
2007,1,Luxembourg,65+,21.9,profit,country
2007,1,Netherlands,19-24,1718.76,profit,country
2007,1,Netherlands,25-34,6904.69,profit,country
2007,1,Netherlands,35-44,8986.23,profit,country
2007,1,Netherlands,45-54,6953.92,profit,country
2007,1,Netherlands,55-64,572.46,profit,country
2007,1,Netherlands,65+,298.46,profit,country
2007,1,Norway,19-24,690.6899999999999,profit,country
2007,1,Norway,25-34,2776.62,profit,country
2007,1,Norway,35-44,4651.99,profit,country
2007,1,Norway,45-54,2795.91,profit,country
2007,1,Norway,55-64,311.59,profit,country
2007,1,Norway,65+,260.65,profit,country
2007,1,Poland,19-24,1286.94,profit,country
2007,1,Poland,25-34,5393.26,profit,country
2007,1,Poland,35-44,8144.4,profit,country
2007,1,Poland,45-54,5794.31,profit,country
2007,1,Poland,55-64,483.83,profit,country
2007,1,Poland,65+,205.48,profit,country
2007,1,Portugal,19-24,2033.6399999999999,profit,country
2007,1,Portugal,25-34,9746.16,profit,country
2007,1,Portugal,35-44,13089.66,profit,country
2007,1,Portugal,45-54,9141.58,profit,country
2007,1,Portugal,55-64,842.62,profit,country
2007,1,Portugal,65+,442.31,profit,country
2007,1,Spain,19-24,3965.32,profit,country
2007,1,Spain,25-34,13219.4,profit,country
2007,1,Spain,35-44,19432.989999999998,profit,country
2007,1,Spain,45-54,13943.85,profit,country
2007,1,Spain,55-64,1525.5,profit,country
2007,1,Spain,65+,458.92,profit,country
2007,1,Sweden,19-24,2285.66,profit,country
2007,1,Sweden,25-34,7447.2,profit,country
2007,1,Sweden,35-44,10835.31,profit,country
2007,1,Sweden,45-54,7177.69,profit,country
